names;Lab;Packet;Prep;day;SiO2;TiO2;Al2O3;Fe2O3T;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;H2O+;H2O-;CO2;LOI;As;Ba;Be;Ce;Co;Cr;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Li;Lu;Nb;Nd;Ni;Pb;Pr;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;V;Y;Yb;Zn;Zr
ALS;1;1;1;1;38.5;0.01;0.46;8.04;;0.09;38.9;0.67;0.01;;;;;;12.75;;7.3;;;109;2530;;8;0.05;0.05;;1;;;;;;;;;2320;;;;;;;;7.7;;;;;;;;;;42;
ALS;1;1;2;1;38.4;0.01;0.46;7.97;;0.09;39.4;0.66;0.02;;;;;;12.2;;7.4;;;110.5;2710;;7;0.05;0.03;;1.1;;;;;;;;;2260;;;;;;;;7.4;;;;;;;;;;43;
ALS;1;1;1;2;39.1;0.01;0.46;7.96;;0.08;38.7;0.66;0.01;;;;;;12.4;;7.5;;;111;2780;;7;0.06;0.04;;1.1;;;;;;;;;2300;;;;;;;;7.6;;;;;;;;;;41;
ALS;1;1;2;2;39;0.01;0.44;7.88;;0.07;38.5;0.68;0.01;;;;;;13.3;;7.9;;;103;2650;;8;0.06;0.03;;0.9;;;;;;;;;2210;;;;;;;;8.1;;;;;;;;;;38;
ALS;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALS;1;3;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARC;2;1;1;1;;;;;;;;;;;;;;;;;;;0.234;103;;0.0276;6.65;0.0537;0.039;0.00751;0.931;0.0418;;0.0126;0.134;;0.00906;;0.141;2350;;0.0324;0.323;;7.12;0.0332;;7.33;;0.0079;;;0.00646;;;0.356;0.0521;35.90333333;
ARC;2;1;2;1;;;;;;;;;;;;;;;;;;;0.232;99.7;;0.0286;6.29;0.056;0.0394;0.00936;0.913;0.0469;;0.0124;0.134;;0.00862;;0.125;2280;;0.033;0.335;;6.91;0.0324;;7.16;;0.00822;;;0.00654;;;0.353;0.056;32.10333333;
ARC;2;1;1;2;;;;;;;;;;;;;;;;;;;0.228;106;;0.0283;7.17;0.0524;0.0414;0.00938;0.926;0.0402;;0.0125;0.142;;0.0106;;0.134;2390;;0.0385;0.377;;5.73;0.0373;;7.01;;0.00774;;;0.00626;;;0.348;0.0508;33.78;
ARC;2;1;2;2;;;;;;;;;;;;;;;;;;;0.224;101;;0.0262;6.69;0.0528;0.0389;0.0101;0.874;0.0512;;0.0126;0.132;;0.00944;;0.12;2320;;0.0317;0.391;;6.38;0.0338;;6.77;;0.00841;;;0.00673;;;0.34;0.0485;29.88;
ARC;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
