names;Lab;Packet;Prep;day;SiO2;TiO2;Al2O3;Fe2O3T;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;H2O+;H2O-;CO2;LOI;As;Ba;Be;Ce;Co;Cr;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Li;Lu;Nb;Nd;Ni;Pb;Pr;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;V;Y;Yb;Zn;Zr
ALS;1;1;1;1;40.9;0.03;1.31;8.43;;0.12;37.5;1.19;0.1;;;;;;8.22;;4.7;;;110.5;2500;;19;0.16;0.13000;;1.4;;;;;;;;;2150;;;;;;;;8.9;;;;;;;;;;49;
ALS;1;1;2;1;39.9;0.03;1.34;8.51;;0.13;39.2;1.2;0.12;;;;;;8.85;;4.3;;;107.5;2550;;18;0.14;0.10000;;1.6;;;;;;;;;2060;;;;;;;;8.1;;;;;;;;;;56;
ALS;1;1;1;2;40.8;0.03;1.34;8.56;;0.11;38.7;1.21;0.11;;;;;;8.98;;4.4;;;108.5;2760;;20;0.13;0.09000;;1.6;;;;;;;;;2060;;;;;;;;8.6;;;;;;;;;;42;
ALS;1;1;2;2;40.7;0.03;1.33;8.48;;0.11;38.5;1.22;0.11;;;;;;9.22;;4.6;;;104.5;2490;;19;0.14;0.11000;;1.4;;;;;;;;;1980;;;;;;;;8.2;;;;;;;;;;46;
ALS;1;2;1;1;39.7;0.03;1.26;8.47;;0.12;37.8;1.18;0.09;;;;;;8.99;;4.7;;;109.5;2500;;19;0.16;0.12000;;1.5;;;;;;;;;2120;;;;;;;;8.9;;;;;;;;;;49;
ALS;1;2;2;1;39.6;0.03;1.32;8.46;;0.13;39;1.18;0.11;;;;;;8.84;;4.1;;;109;2630;;19;0.13;0.10000;;1.5;;;;;;;;;2060;;;;;;;;8.5;;;;;;;;;;50;
ALS;1;2;1;2;40.4;0.03;1.32;8.48;;0.11;38.4;1.2;0.11;;;;;;9.62;;4.6;;;109.5;2700;;18;0.16;0.09000;;1.5;;;;;;;;;2040;;;;;;;;8.2;;;;;;;;;;50;
ALS;1;2;2;2;41.6;0.03;1.32;8.46;;0.11;38.5;1.22;0.1;;;;;;8.76;;4.2;;;103.5;2500;;19;0.14;0.11000;;1.4;;;;;;;;;1965;;;;;;;;8.1;;;;;;;;;;46;
ALS;1;3;1;1;40;0.03;1.26;8.4;;0.12;37.6;1.16;0.09;;;;;;9.14;;5.4;;;111;2540;;20;0.15;0.11000;;1.6;;;;;;;;;2180;;;;;;;;9.1;;;;;;;;;;55;
ALS;1;3;2;1;39.9;0.03;1.32;8.52;;0.13;39.1;1.18;0.11;;;;;;9.28;;4;;;108.5;2630;;19;0.14;0.08000;;1.5;;;;;;;;;2080;;;;;;;;8.2;;;;;;;;;;51;
ALS;1;3;1;2;40.2;0.03;1.35;8.68;;0.12;39.3;1.21;0.11;;;;;;8.83;;4.4;;;110;2750;;21;0.16;0.13000;;1.8;;;;;;;;;2040;;;;;;;;8.4;;;;;;;;;;52;
ALS;1;3;2;2;41.5;0.03;1.32;8.45;;0.11;38.4;1.22;0.1;;;;;;8.85;;5;;;101.5;2520;;18;0.15;0.11000;;1.3;;;;;;;;;1905;;;;;;;;8.3;;;;;;;;;;46;
ARC;2;1;1;1;;;;;;;;;;;;;;;;;;;0.23;104;;0.0943;19;0.151;0.11000;0.026;1.31;0.0997;;0.0346;0.16;;0.0184;;0.188;2160;;0.0408;0.356;;9.53;0.0605;;8.81;;0.0212;;;0.0155;;;0.923;0.116;38.20333333;
ARC;2;1;2;1;;;;;;;;;;;;;;;;;;;;98.7;;0.0975;17.9;0.155;0.10900;0.0281;1.23;0.105;;0.035;;;0.0183;;0.177;2120;;0.0386;0.302;;9.63;0.0662;;8.66;;0.0224;;;0.0166;;;0.913;0.12;38.20333333;
ARC;2;1;1;2;;;;;;;;;;;;;;;;;;;0.218;107;;0.0986;19.6;0.148;0.10500;0.0256;1.32;0.101;;0.033;0.188;;0.0192;;0.188;2160;;0.0487;0.402;;7.82;0.0734;;8.38;;0.0207;;;0.0156;;;0.899;0.117;37.18;
ARC;2;1;2;2;;;;;;;;;;;;;;;;;;;;100;;0.0976;18.9;0.156;0.10900;0.0271;1.2;0.103;;0.0354;;;0.0189;;0.179;2150;;0.0416;0.311;;7.87;0.0642;;8.21;;0.0216;;;0.0166;;;0.876;0.118;33.78;
ARC;2;2;1;1;;;;;;;;;;;;;;;;;;;0.193;103;;0.0962;18.9;0.154;0.11300;0.0274;1.34;0.101;;0.0349;0.134;;0.0194;;0.184;2110;;0.038;0.347;;9.37;0.07;;8.51;;0.0213;;;0.0165;;;0.918;0.118;38.20333333;
ARC;2;2;2;1;;;;;;;;;;;;;;;;;;;0.2;100;;0.0968;18.3;0.153;0.10300;0.0267;1.26;0.109;;0.0354;0.137;;0.018;;0.185;2130;;0.038;0.293;;9.58;0.069;;8.77;;0.0219;;;0.0152;;;0.928;0.116;37.60333333;
ARC;2;2;1;2;;;;;;;;;;;;;;;;;;;0.184;105;;0.0963;19.6;0.148;0.10700;0.0263;1.28;0.0937;;0.0333;0.151;;0.0195;;0.168;2150;;0.0415;0.38;;8.22;0.0673;;8.22;;0.0211;;;0.0165;;;0.904;0.118;36.08;
ARC;2;2;2;2;;;;;;;;;;;;;;;;;;;0.192;101;;0.101;18.9;0.162;0.10500;0.0267;1.22;0.101;;0.0362;0.148;;0.019;;0.197;2170;;0.0409;0.297;;8.26;0.0667;;8.37;;0.0216;;;0.017;;;0.889;0.128;34.28;
ARC;2;3;1;1;;;;;;;;;;;;;;;;;;;;101;;0.099;18.1;0.154;0.11200;0.0271;1.3;0.109;;0.0357;;;0.0184;;;2100;;;0.453;;9.49;0.0701;;8.69;;0.0217;;;0.0173;;;0.93;0.117;37.80333333;
ARC;2;3;2;1;;;;;;;;;;;;;;;;;;;0.194;97.2;;0.0989;18.6;0.152;0.11700;0.0262;1.28;0.101;;0.0359;0.137;;0.0195;;0.188;2110;;0.0393;0.336;;9.54;0.0681;;8.63;;0.0229;;;0.0169;;;0.904;0.12;38.10333333;
ARC;2;3;1;2;;;;;;;;;;;;;;;;;;;;103;;0.0984;18.8;0.154;0.11000;0.0269;1.26;0.101;;0.0345;;;0.0183;;;2150;;;;;8.03;0.0712;;8.24;;0.0217;;;0.0155;;;0.885;0.11;34.78;
ARC;2;3;2;2;;;;;;;;;;;;;;;;;;;0.188;101;;0.0985;19.9;0.15;0.11400;0.026;1.25;0.0973;;0.0351;0.144;;0.019;;0.191;2130;;0.0436;0.385;;8.08;0.0664;;8.22;;0.0219;;;0.0168;;;0.882;0.113;33.58;
