names;Lab;Packet;Prep;day;SiO2;TiO2;Al2O3;Fe2O3T;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;H2O+;H2O-;CO2;LOI;As;Ba;Be;Ce;Co;Cr;Cs;Cu;Dy;Er;Eu;Ga;Gd;Hf;Ho;La;Li;Lu;Nb;Nd;Ni;Pb;Pr;Rb;Sb;Sc;Sm;Sn;Sr;Ta;Tb;Th;Tl;Tm;U;V;Y;Yb;Zn;Zr
ALS;1;1;1;1;45.7;0.36;7.57;11.55;;0.18;20.5;7.58;1.1;;;;;;4.08;;5.9;;;91.9;2280;;45;1.58;1.06;;9.4;;;;;;;;;914;;;;;;;;17.6;;;;;;;;;;68;
ALS;1;1;2;1;45;0.37;7.79;11.45;;0.18;21.1;7.52;1.14;;;;;;4.62;;5.4;;;86.9;2290;;42;1.53;1.03;;8.8;;;;;;;;;865;;;;;;;;15.3;;;;;;;;;;68;
ALS;1;1;1;2;44.7;0.37;8.03;11.85;;0.19;21.1;7.74;1.2;;;;;;4.46;;5.5;;;91.9;2490;;47;1.5;1.01;;9.2;;;;;;;;;879;;;;;;;;16.7;;;;;;;;;;69;
ALS;1;1;2;2;45.5;0.37;7.88;11.75;;0.18;21.3;7.87;1.16;;;;;;4.12;;5.5;;;86.3;2240;;42;1.45;0.97;;9;;;;;;;;;834;;;;;;;;16;;;;;;;;;;63;
ALS;1;2;1;1;44;0.36;7.62;11.55;;0.17;20.6;7.6;1.1;;;;;;4.55;;5.7;;;91.2;2260;;44;1.58;1.06;;9.1;;;;;;;;;900;;;;;;;;17.1;;;;;;;;;;69;
ALS;1;2;2;1;45.2;0.36;7.61;11.25;;0.18;20.8;7.38;1.11;;;;;;5.12;;5;;;86.1;2240;;41;1.5;0.95;;8.7;;;;;;;;;839;;;;;;;;16.9;;;;;;;;;;67;
ALS;1;2;1;2;44.3;0.37;7.92;11.8;;0.18;21;7.78;1.17;;;;;;4.91;;5.6;;;91.9;2460;;44;1.4;0.95;;9.3;;;;;;;;;861;;;;;;;;15.6;;;;;;;;;;70;
ALS;1;2;2;2;44.2;0.37;7.91;11.85;;0.18;21.4;7.91;1.16;;;;;;4.55;;5.2;;;84.6;2220;;42;1.44;0.94;;9;;;;;;;;;836;;;;;;;;15.7;;;;;;;;;;64;
ALS;1;3;1;1;44;0.36;7.55;11.55;;0.17;20.6;7.63;1.08;;;;;;4.8;;5.5;;;89.5;2240;;46;1.57;1.03;;9.1;;;;;;;;;889;;;;;;;;17;;;;;;;;;;69;
ALS;1;3;2;1;43.3;0.38;7.96;11.75;;0.19;21.7;7.71;1.17;;;;;;5.25;;5.4;;;91.6;2410;;46;1.52;1.04;;9.6;;;;;;;;;909;;;;;;;;16.9;;;;;;;;;;74;
